Test File,Run,Computation Time (s),Matches Sequential
input100D2.inp,1,0.952819,Yes
input100D2.inp,2,0.94998,Yes
input100D2.inp,3,0.953839,Yes
input100D2.inp,4,0.954569,Yes
input100D2.inp,5,0.951708,Yes
input100D.inp,1,0.029147,Yes
input100D.inp,2,0.029153,Yes
input100D.inp,3,0.029166,Yes
input100D.inp,4,0.030097,Yes
input100D.inp,5,0.029078,Yes
input20D.inp,1,0.005376,Yes
input20D.inp,2,0.005352,Yes
input20D.inp,3,0.005338,Yes
input20D.inp,4,0.005357,Yes
input20D.inp,5,0.005344,Yes
input10D.inp,1,0.001139,Yes
input10D.inp,2,0.001143,Yes
input10D.inp,3,0.001137,Yes
input10D.inp,4,0.00115,Yes
input10D.inp,5,0.001137,Yes
input2D.inp,1,0.00087,Yes
input2D.inp,2,0.000881,Yes
input2D.inp,3,0.000871,Yes
input2D.inp,4,0.000872,Yes
input2D.inp,5,0.000873,Yes
100k_100.inp,1,0.351057,Yes
100k_100.inp,2,0.35461,Yes
100k_100.inp,3,0.350686,Yes
100k_100.inp,4,0.354481,Yes
100k_100.inp,5,0.352616,Yes
200k_100.inp,1,0.756393,Yes
200k_100.inp,2,0.756341,Yes
200k_100.inp,3,0.75596,Yes
200k_100.inp,4,0.755357,Yes
200k_100.inp,5,0.755765,Yes
400k_100.inp,1,1.460926,Yes
400k_100.inp,2,1.460997,Yes
400k_100.inp,3,1.461261,Yes
400k_100.inp,4,1.461239,Yes
400k_100.inp,5,1.460272,Yes
800k_100.inp,1,3.160322,Yes
800k_100.inp,2,3.156869,Yes
800k_100.inp,3,3.158466,Yes
800k_100.inp,4,3.161997,Yes
800k_100.inp,5,3.159479,Yes
1600k_100.inp,1,4.763678,Yes
1600k_100.inp,2,4.762245,Yes
1600k_100.inp,3,4.759167,Yes
1600k_100.inp,4,4.763767,Yes
1600k_100.inp,5,4.763951,Yes
