Test File,Min,Q1,Median,Q3,Max,Average,Std Dev,Matches Sequential
input100D2.inp,0.9500,0.9508,0.9528,0.9542,0.9546,0.9526,0.0016,Yes
input100D.inp,0.0291,0.0291,0.0292,0.0296,0.0301,0.0293,0.0004,Yes
input20D.inp,0.0053,0.0053,0.0054,0.0054,0.0054,0.0054,0.0000,Yes
input10D.inp,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0000,Yes
input2D.inp,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0000,Yes
100k_100.inp,0.3507,0.3509,0.3526,0.3545,0.3546,0.3527,0.0016,Yes
200k_100.inp,0.7554,0.7556,0.7560,0.7564,0.7564,0.7560,0.0004,Yes
400k_100.inp,1.4603,1.4606,1.4610,1.4612,1.4613,1.4609,0.0004,Yes
800k_100.inp,3.1569,3.1577,3.1595,3.1612,3.1620,3.1594,0.0017,Yes
1600k_100.inp,4.7592,4.7607,4.7637,4.7639,4.7640,4.7626,0.0018,Yes
