Test File,Threads,Min,Q1,Median,Q3,Max,Average,Std Dev,Matches Sequential
input100D2.inp,2,31.2380,31.2515,31.2717,31.3436,31.3610,31.2924,0.0447,Yes
input100D2.inp,4,15.6572,15.6629,15.6727,15.7155,15.7319,15.6859,0.0268,Yes
input100D2.inp,8,7.9047,7.9120,7.9205,7.9239,7.9270,7.9184,0.0074,Yes
input100D2.inp,16,4.0646,4.0936,4.1374,4.2192,4.2741,4.1526,0.0690,Yes
input100D2.inp,32,2.5665,2.5891,2.6241,2.6573,2.6815,2.6234,0.0370,Yes
input100D2.inp,64,2.7465,2.7773,2.8267,2.8377,2.8425,2.8114,0.0343,Yes
input100D.inp,2,0.5859,0.5860,0.5861,0.5874,0.5886,0.5866,0.0010,Yes
input100D.inp,4,0.2939,0.2941,0.2943,0.3154,0.3362,0.3027,0.0168,Yes
input100D.inp,8,0.1496,0.1498,0.1592,0.1734,0.1840,0.1611,0.0125,Yes
input100D.inp,16,0.0971,0.0972,0.0995,0.1030,0.1051,0.1000,0.0029,Yes
input100D.inp,32,0.0650,0.0685,0.0791,0.0891,0.0937,0.0789,0.0099,Yes
input100D.inp,64,0.0953,0.0988,0.1043,0.1084,0.1092,0.1037,0.0049,Yes
100k_100.inp,2,11.4285,11.4582,11.5087,11.5985,11.6760,11.5244,0.0822,Yes
100k_100.inp,4,5.7564,5.7593,5.7642,5.7653,5.7653,5.7627,0.0033,Yes
100k_100.inp,8,2.9490,2.9503,2.9713,2.9908,2.9910,2.9707,0.0182,Yes
100k_100.inp,16,1.6015,1.6019,1.6057,1.6565,1.6794,1.6245,0.0299,Yes
100k_100.inp,32,1.0113,1.0140,1.0247,1.0559,1.0819,1.0329,0.0253,Yes
100k_100.inp,64,0.9693,0.9695,1.0399,1.0601,1.0661,1.0198,0.0419,Yes
200k_100.inp,2,25.9989,26.0115,26.0418,26.0977,26.1116,26.0521,0.0407,Yes
200k_100.inp,4,13.1119,13.1263,13.1697,13.1769,13.1815,13.1552,0.0256,Yes
200k_100.inp,8,6.6290,6.6410,6.6609,6.6678,6.6687,6.6557,0.0144,Yes
200k_100.inp,16,3.4436,3.4490,3.4798,3.4875,3.4946,3.4706,0.0187,Yes
200k_100.inp,32,2.2226,2.2265,2.2337,2.2466,2.2501,2.2360,0.0096,Yes
200k_100.inp,64,1.4160,1.4165,1.4546,1.4808,1.4881,1.4498,0.0292,Yes
400k_100.inp,2,47.3119,47.3877,47.4710,47.5181,47.5326,47.4565,0.0764,Yes
400k_100.inp,4,23.7103,23.7336,23.7856,24.0879,24.2575,23.8857,0.1983,Yes
400k_100.inp,8,11.9966,12.0111,12.0792,12.1374,12.1747,12.0752,0.0619,Yes
400k_100.inp,16,6.1213,6.1335,6.1679,6.2549,6.3128,6.1890,0.0668,Yes
400k_100.inp,32,3.5358,3.5693,3.7565,3.8936,3.9368,3.7365,0.1494,Yes
400k_100.inp,64,2.4357,2.4373,2.4611,2.4856,2.4908,2.4614,0.0219,Yes
800k_100.inp,2,102.2361,102.4275,102.9381,103.2074,103.2428,102.8416,0.3730,Yes
800k_100.inp,4,51.2568,51.3194,51.4312,51.5518,51.6257,51.4347,0.1207,Yes
800k_100.inp,8,26.0181,26.0683,26.2786,26.2965,26.3083,26.2016,0.1138,Yes
800k_100.inp,16,13.1650,13.1774,13.1956,13.2566,13.3035,13.2127,0.0477,Yes
800k_100.inp,32,7.2652,7.3167,7.5998,7.8909,8.0526,7.6030,0.2783,Yes
800k_100.inp,64,5.1206,5.1538,5.2418,5.4704,5.5317,5.2980,0.1510,Yes
1600k_100.inp,2,154.4472,155.2592,156.1855,156.8451,157.1995,156.0788,0.9054,Yes
1600k_100.inp,4,78.3016,78.3709,78.5203,79.4651,79.5354,78.8385,0.5183,Yes
1600k_100.inp,8,39.5165,39.5887,39.8162,40.1652,40.4272,39.8648,0.3108,Yes
1600k_100.inp,16,20.1697,20.1843,20.2732,20.3257,20.3763,20.2586,0.0718,Yes
1600k_100.inp,32,10.6640,10.7739,11.3502,12.6942,13.5550,11.6573,1.0307,Yes
1600k_100.inp,64,7.6700,7.7724,7.8751,7.9604,7.9775,7.8681,0.1067,Yes
