Test File,Run,Computation Time (s)
input100D2.inp,1,57.136554
input100D2.inp,2,58.449705
input100D2.inp,3,58.193393
input100D2.inp,4,57.463968
input100D2.inp,5,55.507457
input100D.inp,1,1.055751
input100D.inp,2,1.104795
input100D.inp,3,1.037088
input100D.inp,4,1.037279
input100D.inp,5,1.03827
input20D.inp,1,0.341113
input20D.inp,2,0.343825
input20D.inp,3,0.341533
input20D.inp,4,0.341208
input20D.inp,5,0.341501
input10D.inp,1,0.00956
input10D.inp,2,0.008947
input10D.inp,3,0.009467
input10D.inp,4,0.009654
input10D.inp,5,0.009229
input2D2.inp,1,3.2e-05
input2D2.inp,2,2.3e-05
input2D2.inp,3,2.7e-05
input2D2.inp,4,2.7e-05
input2D2.inp,5,2.4e-05
input2D.inp,1,0.009632
input2D.inp,2,0.009625
input2D.inp,3,0.009662
input2D.inp,4,0.00983
input2D.inp,5,0.009644
100k_100.inp,1,20.297143
100k_100.inp,2,20.247266
100k_100.inp,3,20.25825
100k_100.inp,4,20.454762
100k_100.inp,5,20.221634
200k_100.inp,1,46.014265
200k_100.inp,2,54.109599
200k_100.inp,3,53.729974
200k_100.inp,4,55.512674
200k_100.inp,5,54.669967
400k_100.inp,1,100.633492
400k_100.inp,2,100.358204
400k_100.inp,3,99.604131
400k_100.inp,4,98.147679
400k_100.inp,5,97.542099
800k_100.inp,1,211.511271
800k_100.inp,2,211.822044
800k_100.inp,3,186.000077
800k_100.inp,4,183.524962
800k_100.inp,5,182.61156
1600k_100.inp,1,274.865597
1600k_100.inp,2,274.743868
1600k_100.inp,3,301.183174
1600k_100.inp,4,289.792563
1600k_100.inp,5,291.703129
