Test File,Min,Q1,Median,Q3,Max,Average,Std Dev
input100D2.inp,55.5075,56.3220,57.4640,58.3215,58.4497,57.3502,1.0367
input100D.inp,1.0371,1.0372,1.0383,1.0803,1.1048,1.0546,0.0261
input20D.inp,0.3411,0.3412,0.3415,0.3427,0.3438,0.3418,0.0010
input10D.inp,0.0089,0.0091,0.0095,0.0096,0.0097,0.0094,0.0003
input2D2.inp,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
input2D.inp,0.0096,0.0096,0.0096,0.0097,0.0098,0.0097,0.0001
100k_100.inp,20.2216,20.2345,20.2583,20.3760,20.4548,20.2958,0.0831
200k_100.inp,46.0143,49.8721,54.1096,55.0913,55.5127,52.8073,3.4491
400k_100.inp,97.5421,97.8449,99.6041,100.4958,100.6335,99.2571,1.2165
800k_100.inp,182.6116,183.0683,186.0001,211.6667,211.8220,195.0940,13.5772
1600k_100.inp,274.7439,274.8047,289.7926,296.4432,301.1832,286.4577,10.2671
